,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,TSLA,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Tesla Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,795.35,,-42.95,-5.12%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"822,000M",162.29,2.04,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,TSLA,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jun 22, 2021",618.25,628.57,615.50,623.71,"19,158,892"
,"Jun 23, 2021",632.00,657.20,630.04,656.57,"31,099,228"
,"Jun 24, 2021",674.99,697.62,667.61,679.82,"45,982,386"
,"Jun 25, 2021",689.58,693.81,668.70,671.87,"32,496,707"
,"Jun 28, 2021",671.64,694.70,670.32,688.72,"21,628,159"
,"Jun 29, 2021",684.65,687.51,675.89,680.76,"17,381,313"
,"Jun 30, 2021",679.77,692.81,678.14,679.70,"18,924,862"
,"Jul 1, 2021",683.92,687.99,672.80,677.92,"18,634,522"
,"Jul 2, 2021",678.98,700.00,673.26,678.90,"27,097,374"
,"Jul 6, 2021",681.71,684.00,651.40,659.58,"23,284,450"
,"Jul 7, 2021",664.27,665.70,638.32,644.65,"18,791,960"
,"Jul 8, 2021",628.37,654.43,620.46,652.81,"22,773,316"
,"Jul 9, 2021",653.18,658.91,644.69,656.95,"18,140,548"
,"Jul 12, 2021",662.20,687.24,662.16,685.70,"25,927,042"
,"Jul 13, 2021",686.32,693.28,666.30,668.54,"20,966,092"
,"Jul 14, 2021",670.75,678.61,652.84,653.38,"21,641,190"
,"Jul 15, 2021",658.39,666.14,637.88,650.60,"20,209,571"
,"Jul 16, 2021",654.68,656.70,642.20,644.22,"16,370,970"
,"Jul 19, 2021",629.89,647.20,621.29,646.22,"21,297,090"
,"Jul 20, 2021",651.99,662.39,640.50,660.50,"15,487,127"
,"Jul 21, 2021",659.61,664.86,650.29,655.29,"13,953,338"
,"Jul 22, 2021",656.44,662.17,644.60,649.26,"15,105,727"
,"Jul 23, 2021",646.36,648.80,637.30,643.38,"14,604,944"
,"Jul 26, 2021",650.97,668.20,647.11,657.62,"25,336,556"
,"Jul 27, 2021",663.40,666.50,627.24,644.78,"32,813,290"
,"Jul 28, 2021",647.00,654.97,639.40,646.98,"16,006,596"
,"Jul 29, 2021",649.79,683.69,648.80,677.35,"30,394,637"
,"Jul 30, 2021",671.76,697.53,669.00,687.20,"29,656,411"
,"Aug 2, 2021",700.00,726.94,698.40,709.67,"33,615,765"
,"Aug 3, 2021",719.00,722.65,701.01,709.74,"21,620,253"
,"Aug 4, 2021",711.00,724.90,708.93,710.92,"17,002,647"
,"Aug 5, 2021",716.00,720.95,711.41,714.63,"12,919,637"
,"Aug 6, 2021",711.90,716.33,697.63,699.10,"15,623,049"
,"Aug 9, 2021",710.17,719.03,705.13,713.76,"14,715,349"
,"Aug 10, 2021",713.99,716.59,701.88,709.99,"13,432,305"
,"Aug 11, 2021",712.71,715.18,704.21,707.82,"9,800,558"
,"Aug 12, 2021",706.34,722.80,699.40,722.25,"17,681,686"
,"Aug 13, 2021",723.71,729.90,714.34,717.17,"16,731,467"
,"Aug 16, 2021",705.07,709.50,676.40,686.17,"23,103,303"
,"Aug 17, 2021",672.66,674.58,648.84,665.71,"23,721,279"
,"Aug 18, 2021",669.75,695.77,669.35,688.99,"20,349,375"
