,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,GLD,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,SPDR Gold Trust,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,185.09,,-1.31,-0.70%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"67,743M",-,-,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,GLD,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jul 7, 2021",168.72,169.23,168.19,168.76,"7,108,909"
,"Jul 8, 2021",169.82,169.86,167.91,168.65,"7,244,275"
,"Jul 9, 2021",168.84,169.62,168.66,169.21,"4,997,398"
,"Jul 12, 2021",168.70,169.16,167.64,169.00,"7,315,422"
,"Jul 13, 2021",169.51,169.90,168.93,169.22,"7,040,277"
,"Jul 14, 2021",170.91,171.04,170.28,171.04,"8,830,335"
,"Jul 15, 2021",170.89,171.30,170.34,171.07,"6,520,126"
,"Jul 16, 2021",170.65,170.95,169.28,169.41,"9,460,348"
,"Jul 19, 2021",169.51,169.91,168.89,169.61,"6,707,365"
,"Jul 20, 2021",170.51,170.80,168.92,169.39,"6,540,058"
,"Jul 21, 2021",168.33,169.00,168.14,168.76,"4,622,581"
,"Jul 22, 2021",168.49,169.19,168.06,169.09,"4,793,605"
,"Jul 23, 2021",168.50,168.88,167.95,168.56,"5,831,463"
,"Jul 26, 2021",168.58,168.86,168.08,168.16,"5,229,817"
,"Jul 27, 2021",168.73,168.91,167.93,168.44,"6,300,183"
,"Jul 28, 2021",168.26,169.38,167.72,169.29,"7,905,846"
,"Jul 29, 2021",170.70,171.52,170.67,171.17,"8,119,591"
,"Jul 30, 2021",170.72,170.99,169.38,169.82,"7,391,706"
,"Aug 2, 2021",169.30,170.25,169.10,169.61,"10,783,240"
,"Aug 3, 2021",169.42,169.83,169.21,169.49,"5,402,340"
,"Aug 4, 2021",171.28,171.40,168.99,169.53,"9,796,349"
,"Aug 5, 2021",169.37,169.44,168.20,168.86,"7,893,245"
,"Aug 6, 2021",165.84,165.93,164.55,164.64,"13,547,643"
,"Aug 9, 2021",163.01,163.29,161.26,161.72,"11,546,973"
,"Aug 10, 2021",161.39,162.11,160.68,161.77,"6,870,766"
,"Aug 11, 2021",163.15,164.17,162.68,164.00,"7,382,417"
,"Aug 12, 2021",163.65,164.10,162.93,164.04,"5,222,080"
,"Aug 13, 2021",165.02,166.46,164.89,166.39,"7,466,887"
,"Aug 16, 2021",166.73,167.39,166.59,167.22,"7,781,796"
,"Aug 17, 2021",167.29,167.73,166.56,166.97,"7,106,992"
,"Aug 18, 2021",167.24,167.51,166.26,167.10,"7,697,931"
,"Aug 19, 2021",167.24,167.29,166.16,166.61,"6,934,268"
,"Aug 20, 2021",166.80,167.14,166.36,166.70,"7,154,348"
,"Aug 23, 2021",168.82,168.91,167.96,168.73,"8,190,548"
