,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,AMR,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Alpha Metallurgical Resources Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,132.73,,-3.74,-2.74%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"2,460M",8.73,1.36,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,AMR,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jul 14, 2021",24.02,24.72,23.45,23.96,"235,441"
,"Jul 15, 2021",23.87,25.21,23.31,24.56,"264,855"
,"Jul 16, 2021",24.79,25.30,23.89,24.13,"281,124"
,"Jul 19, 2021",23.57,23.90,21.28,22.74,"187,108"
,"Jul 20, 2021",22.94,24.04,22.32,23.46,"296,208"
,"Jul 21, 2021",23.76,24.50,22.95,23.99,"286,644"
,"Jul 22, 2021",23.98,24.07,23.22,23.85,"198,042"
,"Jul 23, 2021",24.01,24.73,23.15,23.86,"96,614"
,"Jul 26, 2021",23.86,25.12,23.40,23.83,"340,077"
,"Jul 27, 2021",23.88,24.41,22.66,24.06,"225,399"
,"Jul 28, 2021",24.18,25.55,23.66,24.64,"262,952"
,"Jul 29, 2021",24.42,28.27,24.42,28.09,"221,862"
,"Jul 30, 2021",28.12,28.23,26.64,27.87,"193,377"
,"Aug 2, 2021",28.16,28.57,26.49,27.85,"231,814"
,"Aug 3, 2021",27.56,29.41,26.42,28.21,"138,558"
,"Aug 4, 2021",28.19,29.35,28.03,28.42,"162,666"
,"Aug 5, 2021",28.95,30.41,28.64,29.29,"144,268"
,"Aug 6, 2021",28.98,31.50,28.34,30.38,"362,749"
,"Aug 9, 2021",30.48,33.06,30.19,32.84,"280,669"
,"Aug 10, 2021",33.72,35.11,33.59,34.68,"276,001"
,"Aug 11, 2021",35.48,36.61,34.68,35.44,"272,606"
,"Aug 12, 2021",35.60,36.34,34.50,35.59,"211,119"
,"Aug 13, 2021",36.34,36.70,35.62,36.53,"247,263"
,"Aug 16, 2021",36.17,36.68,34.63,36.26,"149,822"
,"Aug 17, 2021",35.77,37.14,35.46,36.72,"234,500"
,"Aug 18, 2021",36.63,36.87,34.22,34.38,"420,179"
,"Aug 19, 2021",33.65,33.98,31.54,32.84,"311,925"
,"Aug 20, 2021",32.53,35.16,32.26,34.10,"128,357"
,"Aug 23, 2021",34.27,36.58,34.25,36.36,"403,531"
,"Aug 24, 2021",36.80,38.46,36.70,37.67,"185,873"
,"Aug 25, 2021",37.67,38.63,36.91,38.31,"372,496"
,"Aug 26, 2021",37.89,38.74,36.69,37.89,"197,941"
,"Aug 27, 2021",38.01,39.72,38.01,38.97,"202,216"
,"Aug 30, 2021",39.05,39.30,37.41,39.00,"203,220"
,"Aug 31, 2021",39.08,40.00,38.20,39.11,"134,851"
,"Sep 1, 2021",39.11,39.67,37.60,39.53,"159,722"
,"Sep 2, 2021",40.19,41.45,40.00,41.26,"334,475"
,"Sep 3, 2021",41.76,45.95,41.76,45.02,"442,889"
,"Sep 7, 2021",46.37,49.89,46.32,49.06,"359,964"
,"Sep 8, 2021",48.87,49.03,47.67,47.76,"250,465"
,"Sep 9, 2021",47.78,51.86,47.77,51.18,"264,739"
,"Sep 10, 2021",51.62,54.87,51.35,53.51,"508,409"
,"Sep 13, 2021",54.00,54.56,51.50,52.89,"360,280"
,"Sep 14, 2021",52.87,53.65,51.48,52.22,"290,427"
,"Sep 15, 2021",52.39,56.22,51.25,56.00,"543,920"
,"Sep 16, 2021",55.50,55.50,50.13,52.56,"440,573"
,"Sep 17, 2021",51.92,53.90,49.08,49.31,"935,258"
,"Sep 20, 2021",46.36,46.90,43.26,45.96,"727,216"
,"Sep 21, 2021",46.50,46.70,42.02,43.42,"478,936"
,"Sep 22, 2021",44.18,50.71,44.18,48.96,"321,609"
,"Sep 23, 2021",48.96,50.98,48.13,49.17,"156,816"
,"Sep 24, 2021",48.54,50.00,47.69,47.74,"98,274"
,"Sep 27, 2021",47.74,49.49,47.20,48.64,"189,150"
,"Sep 28, 2021",48.03,49.97,46.12,48.42,"299,978"
,"Sep 29, 2021",49.21,50.78,47.74,49.91,"289,422"
,"Sep 30, 2021",50.01,52.31,48.75,49.79,"540,161"
,"Oct 1, 2021",50.05,55.89,49.77,55.62,"388,388"
,"Oct 4, 2021",56.80,59.88,55.69,59.86,"443,675"
,"Oct 5, 2021",61.33,63.05,57.26,61.00,"425,204"
,"Oct 6, 2021",60.00,63.00,56.41,60.08,"176,653"
,"Oct 7, 2021",61.04,62.84,56.93,58.81,"149,128"
,"Oct 8, 2021",59.08,61.50,58.58,60.61,"125,721"
,"Oct 11, 2021",61.45,62.50,58.10,58.60,"309,772"
,"Oct 12, 2021",58.91,60.40,58.05,60.03,"136,075"
,"Oct 13, 2021",60.48,60.96,58.49,60.77,"168,013"
,"Oct 14, 2021",61.58,66.04,57.29,57.65,"275,851"
,"Oct 15, 2021",59.23,63.53,58.35,61.85,"202,621"
,"Oct 18, 2021",60.84,64.64,60.29,63.89,"208,964"
,"Oct 19, 2021",64.45,64.50,58.95,62.35,"221,858"
,"Oct 20, 2021",60.96,62.57,59.25,62.05,"178,176"
,"Oct 21, 2021",60.68,63.90,59.83,62.55,"125,087"
,"Oct 22, 2021",62.82,64.98,61.41,64.47,"245,289"
,"Oct 25, 2021",66.00,67.85,64.17,64.99,"298,085"
,"Oct 26, 2021",66.02,67.97,63.62,66.23,"424,027"
,"Oct 27, 2021",65.66,69.29,61.00,62.14,"360,571"
,"Oct 28, 2021",62.82,65.54,62.38,62.70,"177,892"
,"Oct 29, 2021",63.61,64.68,60.19,61.79,"316,735"
,"Nov 1, 2021",62.68,64.45,61.27,62.06,"177,293"
,"Nov 2, 2021",61.41,61.70,56.25,59.09,"270,450"
,"Nov 3, 2021",58.00,62.30,57.98,61.79,"224,737"
,"Nov 4, 2021",62.01,62.75,58.01,59.73,"199,879"
,"Nov 5, 2021",61.00,62.84,59.86,61.02,"633,584"
,"Nov 8, 2021",61.96,62.70,57.50,59.07,"423,406"
,"Nov 9, 2021",58.77,59.13,53.25,55.23,"406,796"
,"Nov 10, 2021",54.79,56.13,51.44,52.26,"264,756"
,"Nov 11, 2021",53.34,54.48,51.98,53.55,"203,916"
,"Nov 12, 2021",53.78,55.11,52.90,53.12,"364,115"
,"Nov 15, 2021",50.90,52.16,48.20,50.08,"432,710"
,"Nov 16, 2021",50.00,51.39,48.89,50.46,"314,874"
,"Nov 17, 2021",50.72,50.99,47.28,48.50,"232,700"
,"Nov 18, 2021",48.10,48.99,45.70,47.44,"359,521"
,"Nov 19, 2021",46.24,47.50,44.63,46.14,"240,526"
,"Nov 22, 2021",45.91,50.45,45.26,48.32,"370,828"
,"Nov 23, 2021",48.72,50.19,47.98,48.94,"275,231"
,"Nov 24, 2021",48.81,50.23,47.93,48.81,"190,175"
,"Nov 26, 2021",45.31,46.24,43.00,45.40,"238,312"
,"Nov 29, 2021",46.90,48.30,45.68,46.86,"223,268"
,"Nov 30, 2021",46.10,46.74,43.25,46.59,"660,401"
,"Dec 1, 2021",47.77,48.70,44.65,44.89,"297,857"
,"Dec 2, 2021",45.11,47.67,44.22,47.47,"212,662"
